Row ID,Order Date,Ship Date,Ship Mode,Segment,Country,City,State,Region,Category,Sub-Category,Sales,Log_Sales
7981,2015-01-03,2015-01-07,Standard Class,Consumer,United States,Houston,Texas,Central,Office Supplies,Paper,16.448,2.859225028899328
742,2015-01-04,2015-01-08,Standard Class,Home Office,United States,Naperville,Illinois,Central,Office Supplies,Binders,3.54,1.5129270120532565
741,2015-01-04,2015-01-08,Standard Class,Home Office,United States,Naperville,Illinois,Central,Office Supplies,Storage,272.736,5.612164138270425
740,2015-01-04,2015-01-08,Standard Class,Home Office,United States,Naperville,Illinois,Central,Office Supplies,Labels,11.784,2.548194389023919
1760,2015-01-05,2015-01-12,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Art,19.536,3.0221794435688394
7479,2015-01-06,2015-01-10,Standard Class,Home Office,United States,Henderson,Kentucky,South,Technology,Phones,755.96,6.629310411882838
7478,2015-01-06,2015-01-10,Standard Class,Home Office,United States,Henderson,Kentucky,South,Technology,Phones,391.98,5.97375871998905
5328,2015-01-06,2015-01-08,Second Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Paper,19.44,3.017493765335504
7475,2015-01-06,2015-01-10,Standard Class,Home Office,United States,Henderson,Kentucky,South,Furniture,Chairs,2573.82,7.853534907741893
7481,2015-01-06,2015-01-10,Standard Class,Home Office,United States,Henderson,Kentucky,South,Office Supplies,Paper,6.54,2.020222182019865
7476,2015-01-06,2015-01-10,Standard Class,Home Office,United States,Henderson,Kentucky,South,Office Supplies,Binders,609.98,6.415064225411629
7181,2015-01-06,2015-01-07,First Class,Corporate,United States,Athens,Georgia,South,Office Supplies,Art,12.78,2.6232182655855123
7477,2015-01-06,2015-01-10,Standard Class,Home Office,United States,Henderson,Kentucky,South,Office Supplies,Art,5.48,1.8687205103641833
7480,2015-01-06,2015-01-10,Standard Class,Home Office,United States,Henderson,Kentucky,South,Office Supplies,Fasteners,31.12,3.469478889078561
7662,2015-01-07,2015-01-12,Standard Class,Consumer,United States,Huntsville,Texas,Central,Office Supplies,Binders,10.43,2.4362414778067194
7661,2015-01-07,2015-01-12,Standard Class,Consumer,United States,Huntsville,Texas,Central,Furniture,Furnishings,76.728,4.353215552819762
594,2015-01-09,2015-01-13,Standard Class,Consumer,United States,Laredo,Texas,Central,Technology,Accessories,31.2,3.4719664525503626
593,2015-01-09,2015-01-13,Standard Class,Consumer,United States,Laredo,Texas,Central,Office Supplies,Art,9.344,2.3364066414695563
867,2015-01-10,2015-01-15,Standard Class,Corporate,United States,Springfield,Virginia,South,Furniture,Furnishings,51.94,3.9691591967989552
866,2015-01-10,2015-01-15,Standard Class,Corporate,United States,Springfield,Virginia,South,Office Supplies,Labels,2.89,1.358409157630355
717,2015-01-11,2015-01-14,First Class,Consumer,United States,Dover,Delaware,East,Furniture,Furnishings,9.94,2.392425796993835
764,2015-01-13,2015-01-15,Second Class,Corporate,United States,Bossier City,Louisiana,South,Office Supplies,Envelopes,11.36,2.514465452029545
765,2015-01-13,2015-01-15,Second Class,Corporate,United States,Bossier City,Louisiana,South,Office Supplies,Envelopes,50.94,3.9500892062346025
766,2015-01-13,2015-01-15,Second Class,Corporate,United States,Bossier City,Louisiana,South,Technology,Accessories,646.74,6.473489381268246
767,2015-01-13,2015-01-15,Second Class,Corporate,United States,Bossier City,Louisiana,South,Office Supplies,Binders,5.64,1.8931119634883424
768,2015-01-13,2015-01-15,Second Class,Corporate,United States,Bossier City,Louisiana,South,Office Supplies,Storage,572.58,6.351897421174038
9630,2015-01-13,2015-01-18,Standard Class,Consumer,United States,Newark,Ohio,East,Office Supplies,Binders,3.438,1.4902038245104023
9629,2015-01-13,2015-01-18,Standard Class,Consumer,United States,Newark,Ohio,East,Office Supplies,Paper,37.408,3.648265771228639
2979,2015-01-13,2015-01-16,Second Class,Consumer,United States,Mount Pleasant,South Carolina,South,Furniture,Chairs,545.94,6.304339107191786
4938,2015-01-13,2015-01-18,Standard Class,Consumer,United States,San Francisco,California,West,Office Supplies,Storage,1325.85,7.190562991017657
4940,2015-01-13,2015-01-18,Standard Class,Consumer,United States,San Francisco,California,West,Office Supplies,Art,19.9,3.039749158970765
4939,2015-01-13,2015-01-18,Standard Class,Consumer,United States,San Francisco,California,West,Furniture,Bookcases,333.999,5.8141275467459845
6475,2015-01-14,2015-01-15,First Class,Corporate,United States,Philadelphia,Pennsylvania,East,Furniture,Bookcases,61.96,4.1424996041091475
1914,2015-01-15,2015-01-17,First Class,Consumer,United States,Roswell,Georgia,South,Technology,Accessories,149.95,5.016948656152848
974,2015-01-16,2015-01-18,Second Class,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Labels,30.072,3.4363070921089145
973,2015-01-16,2015-01-18,Second Class,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,18.588,2.974917133840071
971,2015-01-16,2015-01-18,Second Class,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Furnishings,127.104,4.852842434020175
972,2015-01-16,2015-01-18,Second Class,Consumer,United States,Philadelphia,Pennsylvania,East,Technology,Phones,124.2,4.829912458665998
5365,2015-01-18,2015-01-21,Second Class,Corporate,United States,Springfield,Oregon,West,Office Supplies,Appliances,64.864,4.187592009996125
5463,2015-01-19,2015-01-20,First Class,Consumer,United States,Scottsdale,Arizona,West,Office Supplies,Binders,32.34,3.506757877322648
5464,2015-01-19,2015-01-20,First Class,Consumer,United States,Scottsdale,Arizona,West,Office Supplies,Paper,56.064,4.044173444975737
5465,2015-01-19,2015-01-20,First Class,Consumer,United States,Scottsdale,Arizona,West,Office Supplies,Envelopes,108.72,4.697931666069403
5466,2015-01-19,2015-01-20,First Class,Consumer,United States,Scottsdale,Arizona,West,Furniture,Bookcases,181.47,5.206585775948444
1122,2015-01-20,2015-01-26,Standard Class,Consumer,United States,Jonesboro,Arkansas,South,Technology,Phones,699.93,6.552408024701865
1125,2015-01-20,2015-01-26,Standard Class,Consumer,United States,Jonesboro,Arkansas,South,Office Supplies,Art,6.63,2.0320878452963655
1123,2015-01-20,2015-01-26,Standard Class,Consumer,United States,Jonesboro,Arkansas,South,Office Supplies,Art,22.96,3.1763857732472487
6327,2015-01-20,2015-01-26,Standard Class,Consumer,United States,Westland,Michigan,Central,Office Supplies,Storage,13.98,2.7067159780890733
1124,2015-01-20,2015-01-26,Standard Class,Consumer,United States,Jonesboro,Arkansas,South,Furniture,Furnishings,38.6,3.6788291182604347
1127,2015-01-20,2015-01-26,Standard Class,Consumer,United States,Jonesboro,Arkansas,South,Furniture,Chairs,1067.94,6.974422782228151
6328,2015-01-20,2015-01-26,Standard Class,Consumer,United States,Westland,Michigan,Central,Furniture,Furnishings,272.94,5.6129091043066754
6329,2015-01-20,2015-01-26,Standard Class,Consumer,United States,Westland,Michigan,Central,Office Supplies,Binders,19.05,2.998229153752578
7121,2015-01-20,2015-01-26,Standard Class,Corporate,United States,Smyrna,Tennessee,South,Office Supplies,Binders,67.194,4.222356584439664
